year,state,county_name,urbanicity,region,division,pop_category,population,pretrial_population
2011,AL,Cleburne County,rural,South,East South Central,Total,9735,42.25
2012,AL,Cleburne County,rural,South,East South Central,Total,9617,41.125
2013,AL,Cleburne County,rural,South,East South Central,Total,9473,40
2014,AL,Cleburne County,rural,South,East South Central,Total,9448,44.5
2015,AL,Cleburne County,rural,South,East South Central,Total,9369,49
2016,AL,Cleburne County,rural,South,East South Central,Total,9333,NA
1970,AL,Coffee County,rural,South,East South Central,Total,21674,8
1971,AL,Coffee County,rural,South,East South Central,Total,22496,8.375
1972,AL,Coffee County,rural,South,East South Central,Total,22403,8.75
1973,AL,Coffee County,rural,South,East South Central,Total,22117,9.125
1974,AL,Coffee County,rural,South,East South Central,Total,22120,9.5
1975,AL,Coffee County,rural,South,East South Central,Total,22842,9.875
1976,AL,Coffee County,rural,South,East South Central,Total,23369,10.25
1977,AL,Coffee County,rural,South,East South Central,Total,23817,10.625
1978,AL,Coffee County,rural,South,East South Central,Total,23998,11
1979,AL,Coffee County,rural,South,East South Central,Total,24408,10.6
1980,AL,Coffee County,rural,South,East South Central,Total,25155,10.2
1981,AL,Coffee County,rural,South,East South Central,Total,25827,9.8
1982,AL,Coffee County,rural,South,East South Central,Total,25976,9.4
1983,AL,Coffee County,rural,South,East South Central,Total,26296,9
1984,AL,Coffee County,rural,South,East South Central,Total,26357,15.4
1985,AL,Coffee County,rural,South,East South Central,Total,26523,21.8
1986,AL,Coffee County,rural,South,East South Central,Total,26746,28.2
1987,AL,Coffee County,rural,South,East South Central,Total,26629,34.6
1988,AL,Coffee County,rural,South,East South Central,Total,26821,41
1989,AL,Coffee County,rural,South,East South Central,Total,26594,42
1990,AL,Coffee County,rural,South,East South Central,Total,26635,43
1991,AL,Coffee County,rural,South,East South Central,Total,26761,44
1992,AL,Coffee County,rural,South,East South Central,Total,27369,45
1993,AL,Coffee County,rural,South,East South Central,Total,27625,46
1994,AL,Coffee County,rural,South,East South Central,Total,28114,47
1995,AL,Coffee County,rural,South,East South Central,Total,28412,48
1996,AL,Coffee County,rural,South,East South Central,Total,28358,49
1997,AL,Coffee County,rural,South,East South Central,Total,28263,50
1998,AL,Coffee County,rural,South,East South Central,Total,28578,85
1999,AL,Coffee County,rural,South,East South Central,Total,28687,65
2000,AL,Coffee County,rural,South,East South Central,Total,28584,72.33334
2001,AL,Coffee County,rural,South,East South Central,Total,28607,79.66666
2002,AL,Coffee County,rural,South,East South Central,Total,28853,87
2003,AL,Coffee County,rural,South,East South Central,Total,29008,94.33334
2004,AL,Coffee County,rural,South,East South Central,Total,29560,101.6667
2005,AL,Coffee County,rural,South,East South Central,Total,29903,109
2006,AL,Coffee County,rural,South,East South Central,Total,30297,129
2007,AL,Coffee County,rural,South,East South Central,Total,31147,128
2008,AL,Coffee County,rural,South,East South Central,Total,31838,120
2009,AL,Coffee County,rural,South,East South Central,Total,32466,106
2010,AL,Coffee County,rural,South,East South Central,Total,32791,133
2011,AL,Coffee County,rural,South,East South Central,Total,32941,129
2012,AL,Coffee County,rural,South,East South Central,Total,32969,125
2013,AL,Coffee County,rural,South,East South Central,Total,33379,95
2014,AL,Coffee County,rural,South,East South Central,Total,32976,111
2015,AL,Coffee County,rural,South,East South Central,Total,32828,111
2016,AL,Coffee County,rural,South,East South Central,Total,32920,NA
1970,AL,Colbert County,small/mid,South,East South Central,Total,30445,11
1971,AL,Colbert County,small/mid,South,East South Central,Total,31001,10.25
1972,AL,Colbert County,small/mid,South,East South Central,Total,31471,9.5
1973,AL,Colbert County,small/mid,South,East South Central,Total,32107,8.75
1974,AL,Colbert County,small/mid,South,East South Central,Total,31962,8
1975,AL,Colbert County,small/mid,South,East South Central,Total,33063,7.25
1976,AL,Colbert County,small/mid,South,East South Central,Total,33339,6.5
1977,AL,Colbert County,small/mid,South,East South Central,Total,34357,5.75
1978,AL,Colbert County,small/mid,South,East South Central,Total,34711,5
1979,AL,Colbert County,small/mid,South,East South Central,Total,35480,4.4
1980,AL,Colbert County,small/mid,South,East South Central,Total,35922,3.8
1981,AL,Colbert County,small/mid,South,East South Central,Total,36021,3.2
1982,AL,Colbert County,small/mid,South,East South Central,Total,35583,2.6
1983,AL,Colbert County,small/mid,South,East South Central,Total,35182,2
1984,AL,Colbert County,small/mid,South,East South Central,Total,34838,4.2
1985,AL,Colbert County,small/mid,South,East South Central,Total,34741,6.4
1986,AL,Colbert County,small/mid,South,East South Central,Total,34487,8.6
1987,AL,Colbert County,small/mid,South,East South Central,Total,34056,10.8
1988,AL,Colbert County,small/mid,South,East South Central,Total,33686,13
1989,AL,Colbert County,small/mid,South,East South Central,Total,33474,15.4
1990,AL,Colbert County,small/mid,South,East South Central,Total,33917,17.8
1991,AL,Colbert County,small/mid,South,East South Central,Total,34248,20.2
1992,AL,Colbert County,small/mid,South,East South Central,Total,34366,22.6
1993,AL,Colbert County,small/mid,South,East South Central,Total,34683,25
1994,AL,Colbert County,small/mid,South,East South Central,Total,34746,29.33333
1995,AL,Colbert County,small/mid,South,East South Central,Total,34843,33.66667
1996,AL,Colbert County,small/mid,South,East South Central,Total,35211,38
1997,AL,Colbert County,small/mid,South,East South Central,Total,35648,42.33333
1998,AL,Colbert County,small/mid,South,East South Central,Total,35742,46.66667
1999,AL,Colbert County,small/mid,South,East South Central,Total,35501,51
2000,AL,Colbert County,small/mid,South,East South Central,Total,35687,53.83333
2001,AL,Colbert County,small/mid,South,East South Central,Total,35601,56.66667
2002,AL,Colbert County,small/mid,South,East South Central,Total,35439,59.5
2003,AL,Colbert County,small/mid,South,East South Central,Total,35261,62.33333
2004,AL,Colbert County,small/mid,South,East South Central,Total,35337,65.16666
2005,AL,Colbert County,small/mid,South,East South Central,Total,35278,68
2006,AL,Colbert County,small/mid,South,East South Central,Total,35393,70.25
2007,AL,Colbert County,small/mid,South,East South Central,Total,35225,72.5
2008,AL,Colbert County,small/mid,South,East South Central,Total,35198,74.75
2009,AL,Colbert County,small/mid,South,East South Central,Total,35203,77
2010,AL,Colbert County,small/mid,South,East South Central,Total,35112,79.25
2011,AL,Colbert County,small/mid,South,East South Central,Total,35169,81.5
2012,AL,Colbert County,small/mid,South,East South Central,Total,35167,83.75
2013,AL,Colbert County,small/mid,South,East South Central,Total,35039,86
2014,AL,Colbert County,small/mid,South,East South Central,Total,34927,86
2015,AL,Colbert County,small/mid,South,East South Central,Total,34706,86
2016,AL,Colbert County,small/mid,South,East South Central,Total,34535,NA
1970,AL,Conecuh County,rural,South,East South Central,Total,8626,11
1971,AL,Conecuh County,rural,South,East South Central,Total,8741,10
1972,AL,Conecuh County,rural,South,East South Central,Total,8809,9
1973,AL,Conecuh County,rural,South,East South Central,Total,8816,8
1974,AL,Conecuh County,rural,South,East South Central,Total,8745,7
1975,AL,Conecuh County,rural,South,East South Central,Total,8979,6
1976,AL,Conecuh County,rural,South,East South Central,Total,8889,5
1977,AL,Conecuh County,rural,South,East South Central,Total,8902,4
1978,AL,Conecuh County,rural,South,East South Central,Total,9190,3
1979,AL,Conecuh County,rural,South,East South Central,Total,9325,2.8
1980,AL,Conecuh County,rural,South,East South Central,Total,9304,2.6
1981,AL,Conecuh County,rural,South,East South Central,Total,9213,2.4
1982,AL,Conecuh County,rural,South,East South Central,Total,9173,2.2
1983,AL,Conecuh County,rural,South,East South Central,Total,9062,2
1984,AL,Conecuh County,rural,South,East South Central,Total,8985,3.8
1985,AL,Conecuh County,rural,South,East South Central,Total,8937,5.6
1986,AL,Conecuh County,rural,South,East South Central,Total,8951,7.4
1987,AL,Conecuh County,rural,South,East South Central,Total,8823,9.2
1988,AL,Conecuh County,rural,South,East South Central,Total,8622,11
1989,AL,Conecuh County,rural,South,East South Central,Total,8478,11.08
1990,AL,Conecuh County,rural,South,East South Central,Total,8426,11.16
1991,AL,Conecuh County,rural,South,East South Central,Total,8623,11.24
1992,AL,Conecuh County,rural,South,East South Central,Total,8586,11.32
1993,AL,Conecuh County,rural,South,East South Central,Total,8656,11.4
1994,AL,Conecuh County,rural,South,East South Central,Total,8743,11.48
1995,AL,Conecuh County,rural,South,East South Central,Total,8768,11.56
1996,AL,Conecuh County,rural,South,East South Central,Total,8964,11.64
1997,AL,Conecuh County,rural,South,East South Central,Total,8914,11.72
1998,AL,Conecuh County,rural,South,East South Central,Total,8897,11.8
1999,AL,Conecuh County,rural,South,East South Central,Total,8884,11.88
2000,AL,Conecuh County,rural,South,East South Central,Total,8848,11.96
2001,AL,Conecuh County,rural,South,East South Central,Total,8786,12.04
2002,AL,Conecuh County,rural,South,East South Central,Total,8694,12.12
2003,AL,Conecuh County,rural,South,East South Central,Total,8604,12.2
2004,AL,Conecuh County,rural,South,East South Central,Total,8546,12.28
2005,AL,Conecuh County,rural,South,East South Central,Total,8564,12.36
2006,AL,Conecuh County,rural,South,East South Central,Total,8631,12.44
2007,AL,Conecuh County,rural,South,East South Central,Total,8507,12.52
2008,AL,Conecuh County,rural,South,East South Central,Total,8524,12.6
2009,AL,Conecuh County,rural,South,East South Central,Total,8439,12.68
2010,AL,Conecuh County,rural,South,East South Central,Total,8421,12.76
2011,AL,Conecuh County,rural,South,East South Central,Total,8403,12.84
2012,AL,Conecuh County,rural,South,East South Central,Total,8375,12.92
2013,AL,Conecuh County,rural,South,East South Central,Total,8160,13
2014,AL,Conecuh County,rural,South,East South Central,Total,7991,13
2015,AL,Conecuh County,rural,South,East South Central,Total,7795,13
2016,AL,Conecuh County,rural,South,East South Central,Total,7724,NA
1970,AL,Coosa County,rural,South,East South Central,Total,6281,4
1971,AL,Coosa County,rural,South,East South Central,Total,6310,3.875
1972,AL,Coosa County,rural,South,East South Central,Total,6423,3.75
1973,AL,Coosa County,rural,South,East South Central,Total,6810,3.625
1974,AL,Coosa County,rural,South,East South Central,Total,6891,3.5
1975,AL,Coosa County,rural,South,East South Central,Total,6920,3.375
1976,AL,Coosa County,rural,South,East South Central,Total,6805,3.25
1977,AL,Coosa County,rural,South,East South Central,Total,7049,3.125
1978,AL,Coosa County,rural,South,East South Central,Total,7165,3
1979,AL,Coosa County,rural,South,East South Central,Total,7170,4.8
1980,AL,Coosa County,rural,South,East South Central,Total,7036,6.6
1981,AL,Coosa County,rural,South,East South Central,Total,7110,8.4
1982,AL,Coosa County,rural,South,East South Central,Total,7066,10.2
1983,AL,Coosa County,rural,South,East South Central,Total,7050,12
1984,AL,Coosa County,rural,South,East South Central,Total,7068,10.8
1985,AL,Coosa County,rural,South,East South Central,Total,6969,9.6
1986,AL,Coosa County,rural,South,East South Central,Total,7064,8.4
1987,AL,Coosa County,rural,South,East South Central,Total,7122,7.2
1988,AL,Coosa County,rural,South,East South Central,Total,7064,6
1989,AL,Coosa County,rural,South,East South Central,Total,7070,11
1990,AL,Coosa County,rural,South,East South Central,Total,7124,10
1991,AL,Coosa County,rural,South,East South Central,Total,7204,9
1992,AL,Coosa County,rural,South,East South Central,Total,7236,10
1993,AL,Coosa County,rural,South,East South Central,Total,7432,6
1994,AL,Coosa County,rural,South,East South Central,Total,7681,6.5
1995,AL,Coosa County,rural,South,East South Central,Total,7786,7
1996,AL,Coosa County,rural,South,East South Central,Total,7723,7.5
1997,AL,Coosa County,rural,South,East South Central,Total,7753,8
1998,AL,Coosa County,rural,South,East South Central,Total,7820,8.5
1999,AL,Coosa County,rural,South,East South Central,Total,7946,9
2000,AL,Coosa County,rural,South,East South Central,Total,7707,13.5
2001,AL,Coosa County,rural,South,East South Central,Total,7748,18
2002,AL,Coosa County,rural,South,East South Central,Total,7685,22.5
2003,AL,Coosa County,rural,South,East South Central,Total,7686,27
2004,AL,Coosa County,rural,South,East South Central,Total,7600,31.5
2005,AL,Coosa County,rural,South,East South Central,Total,7604,36
2006,AL,Coosa County,rural,South,East South Central,Total,7574,73
2007,AL,Coosa County,rural,South,East South Central,Total,7610,56
2008,AL,Coosa County,rural,South,East South Central,Total,7633,61
2009,AL,Coosa County,rural,South,East South Central,Total,7578,57
2010,AL,Coosa County,rural,South,East South Central,Total,7896,61
2011,AL,Coosa County,rural,South,East South Central,Total,7901,29
2012,AL,Coosa County,rural,South,East South Central,Total,7655,40
2013,AL,Coosa County,rural,South,East South Central,Total,7541,26
2014,AL,Coosa County,rural,South,East South Central,Total,7455,24
2015,AL,Coosa County,rural,South,East South Central,Total,7215,24
2016,AL,Coosa County,rural,South,East South Central,Total,7082,NA
1970,AL,Covington County,rural,South,East South Central,Total,20572,11
1971,AL,Covington County,rural,South,East South Central,Total,20888,10.875
1972,AL,Covington County,rural,South,East South Central,Total,21210,10.75
1973,AL,Covington County,rural,South,East South Central,Total,21545,10.625
1974,AL,Covington County,rural,South,East South Central,Total,22110,10.5
1975,AL,Covington County,rural,South,East South Central,Total,22264,10.375
1976,AL,Covington County,rural,South,East South Central,Total,22360,10.25
1977,AL,Covington County,rural,South,East South Central,Total,22421,10.125
1978,AL,Covington County,rural,South,East South Central,Total,22585,10
1979,AL,Covington County,rural,South,East South Central,Total,23031,10
1980,AL,Covington County,rural,South,East South Central,Total,22907,10
1981,AL,Covington County,rural,South,East South Central,Total,22958,10
1982,AL,Covington County,rural,South,East South Central,Total,22860,10
1983,AL,Covington County,rural,South,East South Central,Total,22907,10
1984,AL,Covington County,rural,South,East South Central,Total,23012,13
1985,AL,Covington County,rural,South,East South Central,Total,23117,16
1986,AL,Covington County,rural,South,East South Central,Total,22912,17.66667
1987,AL,Covington County,rural,South,East South Central,Total,22869,19.33333
1988,AL,Covington County,rural,South,East South Central,Total,22737,21
1989,AL,Covington County,rural,South,East South Central,Total,22623,17
1990,AL,Covington County,rural,South,East South Central,Total,22710,13
1991,AL,Covington County,rural,South,East South Central,Total,22777,9
1992,AL,Covington County,rural,South,East South Central,Total,23029,5
1993,AL,Covington County,rural,South,East South Central,Total,23211,1
1994,AL,Covington County,rural,South,East South Central,Total,23153,4.5
1995,AL,Covington County,rural,South,East South Central,Total,23432,8
1996,AL,Covington County,rural,South,East South Central,Total,23618,11.5
1997,AL,Covington County,rural,South,East South Central,Total,23615,15
1998,AL,Covington County,rural,South,East South Central,Total,23708,18.5
1999,AL,Covington County,rural,South,East South Central,Total,23787,22
2000,AL,Covington County,rural,South,East South Central,Total,23545,49.5
2001,AL,Covington County,rural,South,East South Central,Total,23375,77
2002,AL,Covington County,rural,South,East South Central,Total,23276,57
2003,AL,Covington County,rural,South,East South Central,Total,23275,101
2004,AL,Covington County,rural,South,East South Central,Total,23319,140
2005,AL,Covington County,rural,South,East South Central,Total,23509,187
2006,AL,Covington County,rural,South,East South Central,Total,23686,209
2007,AL,Covington County,rural,South,East South Central,Total,23864,185
2008,AL,Covington County,rural,South,East South Central,Total,23829,203
2009,AL,Covington County,rural,South,East South Central,Total,23779,150
2010,AL,Covington County,rural,South,East South Central,Total,23806,97
2011,AL,Covington County,rural,South,East South Central,Total,23826,44
2012,AL,Covington County,rural,South,East South Central,Total,23900,84.33334
2013,AL,Covington County,rural,South,East South Central,Total,23640,124.6667
2014,AL,Covington County,rural,South,East South Central,Total,23514,165
2015,AL,Covington County,rural,South,East South Central,Total,23378,165
2016,AL,Covington County,rural,South,East South Central,Total,23209,NA
1970,AL,Crenshaw County,rural,South,East South Central,Total,7748,7
1971,AL,Crenshaw County,rural,South,East South Central,Total,7829,6.25
1972,AL,Crenshaw County,rural,South,East South Central,Total,7929,5.5
1973,AL,Crenshaw County,rural,South,East South Central,Total,8246,4.75
1974,AL,Crenshaw County,rural,South,East South Central,Total,8324,4
1975,AL,Crenshaw County,rural,South,East South Central,Total,8216,3.25
1976,AL,Crenshaw County,rural,South,East South Central,Total,8278,2.5
1977,AL,Crenshaw County,rural,South,East South Central,Total,8295,1.75
1978,AL,Crenshaw County,rural,South,East South Central,Total,8274,1
1979,AL,Crenshaw County,rural,South,East South Central,Total,8391,1.8
1980,AL,Crenshaw County,rural,South,East South Central,Total,8417,2.6
1981,AL,Crenshaw County,rural,South,East South Central,Total,8452,3.4
1982,AL,Crenshaw County,rural,South,East South Central,Total,8377,4.2
1983,AL,Crenshaw County,rural,South,East South Central,Total,8357,5
1984,AL,Crenshaw County,rural,South,East South Central,Total,8345,4.2
1985,AL,Crenshaw County,rural,South,East South Central,Total,8366,3.4
1986,AL,Crenshaw County,rural,South,East South Central,Total,8358,2.6
1987,AL,Crenshaw County,rural,South,East South Central,Total,8368,1.8
1988,AL,Crenshaw County,rural,South,East South Central,Total,8348,1
1989,AL,Crenshaw County,rural,South,East South Central,Total,8299,1.4
1990,AL,Crenshaw County,rural,South,East South Central,Total,8237,1.8
1991,AL,Crenshaw County,rural,South,East South Central,Total,8225,2.2
1992,AL,Crenshaw County,rural,South,East South Central,Total,8202,2.6
1993,AL,Crenshaw County,rural,South,East South Central,Total,8275,3
1994,AL,Crenshaw County,rural,South,East South Central,Total,8259,3.833333
1995,AL,Crenshaw County,rural,South,East South Central,Total,8351,4.666667
1996,AL,Crenshaw County,rural,South,East South Central,Total,8426,5.5
1997,AL,Crenshaw County,rural,South,East South Central,Total,8515,6.333333
1998,AL,Crenshaw County,rural,South,East South Central,Total,8502,7.166667
1999,AL,Crenshaw County,rural,South,East South Central,Total,8497,8
2000,AL,Crenshaw County,rural,South,East South Central,Total,8605,12
2001,AL,Crenshaw County,rural,South,East South Central,Total,8595,16
2002,AL,Crenshaw County,rural,South,East South Central,Total,8579,20
2003,AL,Crenshaw County,rural,South,East South Central,Total,8620,24
2004,AL,Crenshaw County,rural,South,East South Central,Total,8641,28
2005,AL,Crenshaw County,rural,South,East South Central,Total,8716,32
2006,AL,Crenshaw County,rural,South,East South Central,Total,8878,24
2007,AL,Crenshaw County,rural,South,East South Central,Total,8956,22
2008,AL,Crenshaw County,rural,South,East South Central,Total,8973,47
2009,AL,Crenshaw County,rural,South,East South Central,Total,9060,42
2010,AL,Crenshaw County,rural,South,East South Central,Total,8998,43
2011,AL,Crenshaw County,rural,South,East South Central,Total,8976,44
2012,AL,Crenshaw County,rural,South,East South Central,Total,8952,45
2013,AL,Crenshaw County,rural,South,East South Central,Total,8929,46
2014,AL,Crenshaw County,rural,South,East South Central,Total,8817,23
2015,AL,Crenshaw County,rural,South,East South Central,Total,8781,23
2016,AL,Crenshaw County,rural,South,East South Central,Total,8748,NA
1970,AL,Cullman County,rural,South,East South Central,Total,32625,10
1971,AL,Cullman County,rural,South,East South Central,Total,33679,12.375
1972,AL,Cullman County,rural,South,East South Central,Total,34788,14.75
1973,AL,Cullman County,rural,South,East South Central,Total,35927,17.125
1974,AL,Cullman County,rural,South,East South Central,Total,36355,19.5
1975,AL,Cullman County,rural,South,East South Central,Total,36658,21.875
1976,AL,Cullman County,rural,South,East South Central,Total,38004,24.25
1977,AL,Cullman County,rural,South,East South Central,Total,38547,26.625
1978,AL,Cullman County,rural,South,East South Central,Total,39110,29
1979,AL,Cullman County,rural,South,East South Central,Total,39384,27.6
1980,AL,Cullman County,rural,South,East South Central,Total,39614,26.2
1981,AL,Cullman County,rural,South,East South Central,Total,39874,24.8
1982,AL,Cullman County,rural,South,East South Central,Total,40172,23.4
1983,AL,Cullman County,rural,South,East South Central,Total,40680,22
1984,AL,Cullman County,rural,South,East South Central,Total,41612,23.8
1985,AL,Cullman County,rural,South,East South Central,Total,42122,25.6
1986,AL,Cullman County,rural,South,East South Central,Total,42703,27.4
1987,AL,Cullman County,rural,South,East South Central,Total,43103,29.2
1988,AL,Cullman County,rural,South,East South Central,Total,43214,31
1989,AL,Cullman County,rural,South,East South Central,Total,43415,1
1990,AL,Cullman County,rural,South,East South Central,Total,44151,9
1991,AL,Cullman County,rural,South,East South Central,Total,44721,2
1992,AL,Cullman County,rural,South,East South Central,Total,45474,6
1993,AL,Cullman County,rural,South,East South Central,Total,46073,2
1994,AL,Cullman County,rural,South,East South Central,Total,46881,4.166667
1995,AL,Cullman County,rural,South,East South Central,Total,47510,6.333333
1996,AL,Cullman County,rural,South,East South Central,Total,48485,8.5
1997,AL,Cullman County,rural,South,East South Central,Total,49020,10.66667
1998,AL,Cullman County,rural,South,East South Central,Total,49871,12.83333
1999,AL,Cullman County,rural,South,East South Central,Total,50450,15
2000,AL,Cullman County,rural,South,East South Central,Total,50690,13
2001,AL,Cullman County,rural,South,East South Central,Total,50724,15.5
2002,AL,Cullman County,rural,South,East South Central,Total,50832,18
2003,AL,Cullman County,rural,South,East South Central,Total,50933,11
2004,AL,Cullman County,rural,South,East South Central,Total,51234,51.5
2005,AL,Cullman County,rural,South,East South Central,Total,51661,92
2006,AL,Cullman County,rural,South,East South Central,Total,51794,108.875
2007,AL,Cullman County,rural,South,East South Central,Total,52026,125.75
2008,AL,Cullman County,rural,South,East South Central,Total,52277,142.625
2009,AL,Cullman County,rural,South,East South Central,Total,52285,159.5
2010,AL,Cullman County,rural,South,East South Central,Total,52249,176.375
2011,AL,Cullman County,rural,South,East South Central,Total,52262,193.25
2012,AL,Cullman County,rural,South,East South Central,Total,52171,210.125
2013,AL,Cullman County,rural,South,East South Central,Total,51732,227
2014,AL,Cullman County,rural,South,East South Central,Total,51740,171
2015,AL,Cullman County,rural,South,East South Central,Total,51675,115
2016,AL,Cullman County,rural,South,East South Central,Total,51925,NA
1970,AL,Dale County,rural,South,East South Central,Total,35852,14
1971,AL,Dale County,rural,South,East South Central,Total,35805,12.375
1972,AL,Dale County,rural,South,East South Central,Total,31948,10.75
1973,AL,Dale County,rural,South,East South Central,Total,27761,9.125
1974,AL,Dale County,rural,South,East South Central,Total,28345,7.5
1975,AL,Dale County,rural,South,East South Central,Total,29680,5.875
1976,AL,Dale County,rural,South,East South Central,Total,28801,4.25
1977,AL,Dale County,rural,South,East South Central,Total,28986,2.625
1978,AL,Dale County,rural,South,East South Central,Total,30545,1
1979,AL,Dale County,rural,South,East South Central,Total,30484,1.5
1980,AL,Dale County,rural,South,East South Central,Total,31999,2
1981,AL,Dale County,rural,South,East South Central,Total,32508,2.5
1982,AL,Dale County,rural,South,East South Central,Total,32481,3
1983,AL,Dale County,rural,South,East South Central,Total,32661,3.5
1984,AL,Dale County,rural,South,East South Central,Total,32486,4
1985,AL,Dale County,rural,South,East South Central,Total,32579,4.5
1986,AL,Dale County,rural,South,East South Central,Total,33145,5
1987,AL,Dale County,rural,South,East South Central,Total,33368,5.5
1988,AL,Dale County,rural,South,East South Central,Total,34004,6
1989,AL,Dale County,rural,South,East South Central,Total,33451,8
1990,AL,Dale County,rural,South,East South Central,Total,33335,10